,bioproject,sra_rec,sra_file_kind,sra_file_blob
24,PRJNA545410,8009998,read_1,"{""cluster"": ""public"", ""filename"": ""123_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203177/123_R1.fastq.gz.1"", ""size"": ""12248796"", ""date"": ""2019-06-05 10:06:55"", ""md5"": ""15884d5f332852dbe4dafc6ccf5310db"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
25,PRJNA545410,8009998,read_2,"{""cluster"": ""public"", ""filename"": ""123_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203177/123_R2.fastq.gz.1"", ""size"": ""13645855"", ""date"": ""2019-06-05 10:06:56"", ""md5"": ""1bc143967dfebce9baef1636f7e72995"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
26,PRJNA545410,8009998,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203177"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/008987/SRR9203177"", ""size"": ""29766826"", ""date"": ""2019-06-05 10:07:03"", ""md5"": ""3a87041fe435023b31f251f5eaec9520"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
27,PRJNA545410,8009997,read_1,"{""cluster"": ""public"", ""filename"": ""124_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203178/124_R1.fastq.gz.1"", ""size"": ""12885022"", ""date"": ""2019-06-05 10:07:00"", ""md5"": ""1426ef46706ecf0ad8264de3bda98120"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
28,PRJNA545410,8009997,read_2,"{""cluster"": ""public"", ""filename"": ""124_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203178/124_R2.fastq.gz.1"", ""size"": ""14871408"", ""date"": ""2019-06-05 10:07:01"", ""md5"": ""0e9c0087c676c674ff958eec0a37e212"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
29,PRJNA545410,8009997,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203178"", ""url"": ""https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR9203178/SRR9203178.1"", ""size"": ""33671098"", ""date"": ""2019-06-05 10:07:08"", ""md5"": ""d642183b729047b003fcbf421a88db0c"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
30,PRJNA545410,8009996,read_1,"{""cluster"": ""public"", ""filename"": ""144_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203179/144_R1.fastq.gz.1"", ""size"": ""13972839"", ""date"": ""2019-06-05 10:06:58"", ""md5"": ""c3be9d60e71c5bd28afe22497ba30e44"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
31,PRJNA545410,8009996,read_2,"{""cluster"": ""public"", ""filename"": ""144_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203179/144_R2.fastq.gz.1"", ""size"": ""16703514"", ""date"": ""2019-06-05 10:06:59"", ""md5"": ""cb8d88f794ff3fa2bf53b85371fa9e11"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
32,PRJNA545410,8009996,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203179"", ""url"": ""https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR9203179/SRR9203179.1"", ""size"": ""34241684"", ""date"": ""2019-06-05 10:07:06"", ""md5"": ""32d8eb24ca47a55b790e6f6a91ae65c2"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
33,PRJNA545410,8009995,read_1,"{""cluster"": ""public"", ""filename"": ""140_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203180/140_R1.fastq.gz.1"", ""size"": ""19112097"", ""date"": ""2019-06-05 10:07:08"", ""md5"": ""3bb23c6aac7db42ba59b32903bdf655c"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
